año,mes,dia,hora(utc),altura(mm)
2016,7,27,17,153
2016,7,27,18,95
2016,7,27,19,48
2016,7,27,20,17
2016,7,27,21,6
2016,7,27,22,17
2016,7,27,23,49
2016,7,28,0,95
2016,7,28,1,151
2016,7,28,2,203
2016,7,28,3,243
2016,7,28,4,272
2016,7,28,5,288
2016,7,28,6,294
2016,7,28,7,297
2016,7,28,8,300
2016,7,28,9,302
2016,7,28,10,305
2016,7,28,11,311
2016,7,28,12,318
2016,7,28,13,323
2016,7,28,14,317
2016,7,28,15,294
2016,7,28,16,253
2016,7,28,17,196
2016,7,28,18,124
2016,7,28,19,51
2016,7,28,20,-6
2016,7,28,21,-44
2016,7,28,22,-58
2016,7,28,23,-43
2016,7,29,0,-0
2016,7,29,1,64
2016,7,29,2,136
2016,7,29,3,203
2016,7,29,4,260
2016,7,29,5,301
2016,7,29,6,324
2016,7,29,7,331
2016,7,29,8,335
2016,7,29,9,336
2016,7,29,10,330
2016,7,29,11,326
2016,7,29,12,330
2016,7,29,13,336
2016,7,29,14,338
2016,7,29,15,328
2016,7,29,16,299
2016,7,29,17,251
2016,7,29,18,180
2016,7,29,19,92
2016,7,29,20,8
2016,7,29,21,-58
2016,7,29,22,-103
2016,7,29,23,-119
2016,7,30,0,-96
2016,7,30,1,-38
2016,7,30,2,41
2016,7,30,3,127
2016,7,30,4,208
2016,7,30,5,277
2016,7,30,6,325
2016,7,30,7,347
2016,7,30,8,353
2016,7,30,9,354
2016,7,30,10,347
2016,7,30,11,333
2016,7,30,12,327
2016,7,30,13,332
2016,7,30,14,340
2016,7,30,15,342
2016,7,30,16,329
2016,7,30,17,298
2016,7,30,18,243
2016,7,30,19,160
2016,7,30,20,60
2016,7,30,21,-33
2016,7,30,22,-105
2016,7,30,23,-154
2016,7,31,0,-165
2016,7,31,1,-131
2016,7,31,2,-59
2016,7,31,3,31
2016,7,31,4,128
2016,7,31,5,219
2016,7,31,6,294
2016,7,31,7,341
2016,7,31,8,359
2016,7,31,9,361
2016,7,31,10,354
2016,7,31,11,338
2016,7,31,12,319
2016,7,31,13,314
2016,7,31,14,323
2016,7,31,15,332
2016,7,31,16,334
2016,7,31,17,322
2016,7,31,18,289
2016,7,31,19,228
2016,7,31,20,136
2016,7,31,21,30
2016,7,31,22,-65
2016,7,31,23,-139
